company,year,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfIntangibleAssets,AssetsCurrent,CommonStockValue,CommonStocksIncludingAdditionalPaidInCapital,Depreciation,DepreciationAndAmortization,EarningsPerShareBasic,IncomeTaxExpenseBenefit,InterestExpense,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherDepreciationAndAmortization,ResearchAndDevelopmentExpense,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,StockholdersEquity
ACCENTURE PLC,2018,,,170187000.0,,,,423471000.0,,6.46,1593499000.0,19539000.0,,6026691000.0,4059907000.0,,790779000.0,,40992534000.0,
ACCENTURE PLC,2019,5804448000.0,,177150000.0,15450601000.0,,,440796000.0,,7.49,1405556000.0,22963000.0,11061896000.0,6626953000.0,4779112000.0,,799734000.0,,43215013000.0,14409008000.0
ACCENTURE PLC,2020,7167227000.0,,239664000.0,17749756000.0,,,482054000.0,,8.03,1589018000.0,33071000.0,12662590000.0,8215152000.0,5107839000.0,1493000.0,870611000.0,,44327039000.0,17000536000.0
ACCENTURE PLC,2021,8617838000.0,,312706000.0,19666511000.0,,,512051000.0,,9.31,1770571000.0,59492000.0,15708867000.0,8975148000.0,5906809000.0,4037000.0,1118320000.0,,50533389000.0,19529454000.0
ACCENTURE PLC,2022,10679180000.0,,438897000.0,21610871000.0,,,591748000.0,,10.87,2207207000.0,47320000.0,17523496000.0,9541129000.0,6877169000.0,7672000.0,1123296000.0,,61594305000.0,22106097000.0
ACCENTURE PLC,2023,12778782000.0,,440957000.0,23381931000.0,,,620659000.0,,10.9,2135802000.0,47525000.0,18009038000.0,9524268000.0,6871557000.0,12248000.0,1298657000.0,,64111745000.0,25692839000.0
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2016,,,,,,,,,,,,,,,,,,,10728000000.0
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2017,,,130000000.0,,,,,408000000.0,2.54,1153000000.0,23000000.0,,2407000000.0,1504000000.0,,,,14810000000.0,10669000000.0
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2018,47000000.0,,151000000.0,8610000000.0,6000000.0,,,460000000.0,3.61,698000000.0,27000000.0,2710000000.0,2592000000.0,2101000000.0,,,16125000000.0,16125000000.0,11424000000.0
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2019,33000000.0,,162000000.0,7611000000.0,5000000.0,,,507000000.0,3.3,643000000.0,26000000.0,2983000000.0,2499000000.0,1842000000.0,,,16783000000.0,16783000000.0,11022000000.0
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2020,32000000.0,,152000000.0,6851000000.0,5000000.0,,,552000000.0,2.58,704000000.0,24000000.0,3540000000.0,3299000000.0,1392000000.0,,,16652000000.0,16652000000.0,10836000000.0
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2021,27000000.0,,182000000.0,7342000000.0,5000000.0,,,574000000.0,4.06,693000000.0,9000000.0,3529000000.0,2495000000.0,2137000000.0,,,18507000000.0,18507000000.0,11991000000.0
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2022,15000000.0,,184000000.0,7266000000.0,5000000.0,,,569000000.0,4.42,730000000.0,19000000.0,3347000000.0,2568000000.0,2290000000.0,,,19428000000.0,19428000000.0,12309000000.0
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2023,15000000.0,,165000000.0,7506000000.0,5000000.0,,,519000000.0,4.21,668000000.0,41000000.0,3333000000.0,2330000000.0,2126000000.0,,,19353000000.0,19353000000.0,13227000000.0
INSIGHT ENTERPRISES INC,2016,,,,,,,,,,,,,,,,,,,713443000.0
INSIGHT ENTERPRISES INC,2017,,,16812000.0,,,,25787000.0,,2.54,68415000.0,17965000.0,,-307066000.0,90683000.0,,,6703623000.0,,843469000.0
INSIGHT ENTERPRISES INC,2018,,323622000.0,15737000.0,2338577000.0,355000.0,,21721000.0,,4.6,48225000.0,21737000.0,1536662000.0,292647000.0,163677000.0,,,7080136000.0,,986989000.0
INSIGHT ENTERPRISES INC,2019,,357032000.0,23671000.0,3048032000.0,353000.0,,22538000.0,,4.49,52309000.0,28478000.0,1883528000.0,127876000.0,159407000.0,,,7731190000.0,,1160318000.0
INSIGHT ENTERPRISES INC,2020,,364288000.0,37535000.0,3176450000.0,351000.0,,28025000.0,,4.92,55812000.0,41594000.0,2227464000.0,355582000.0,172640000.0,,,8340579000.0,,1342429000.0
INSIGHT ENTERPRISES INC,2021,,368282000.0,32045000.0,3568311000.0,349000.0,,23376000.0,,6.27,73212000.0,40516000.0,2515257000.0,163711000.0,219345000.0,,,9436113000.0,,1509227000.0
INSIGHT ENTERPRISES INC,2022,,327872000.0,32892000.0,3900668000.0,340000.0,,23722000.0,,8.04,93825000.0,39497000.0,2866407000.0,98106000.0,280608000.0,,,10431191000.0,,1638068000.0
INSIGHT ENTERPRISES INC,2023,,328607000.0,36231000.0,4331301000.0,326000.0,,26245000.0,,8.53,96545000.0,41124000.0,3373383000.0,619531000.0,281309000.0,,,9175840000.0,,1735733000.0
INTERNATIONAL BUSINESS MACHINES CORP,2017,,,1520000000.0,,,,3021000000.0,,6.17,5642000000.0,615000000.0,,16724000000.0,5753000000.0,,5590000000.0,,79139000000.0,
INTERNATIONAL BUSINESS MACHINES CORP,2018,,,1353000000.0,49146000000.0,,55151000000.0,3127000000.0,,9.57,2619000000.0,723000000.0,38227000000.0,15247000000.0,8728000000.0,,5379000000.0,,79591000000.0,16796000000.0
